,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
1,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3383192,32112000,0,,0,,32946141,845798,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
5972,0,23.82,,,,,800,0,0,0,0,23.82,,,,,800,0,0,0,0,0,2299528,33300000,0,,0,,33300521,574882,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
5973,0,23.82,,,,,800,0,0,0,0,23.82,,,,,800,0,0,0,0,0,2322252,33300000,0,,0,,33300521,580563,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
14785,0,23.52,,,,,162300,0,0,0,0,23.52,,,,,162300,500,0,0,0,0,605148,33309000,0,,0,,33309512,151287,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
19174,0,23.52,,,,,164000,0,0,0,0,23.52,,,,,164000,1800,0,0,0,0,20912,33318000,0,,0,,33318550,5228,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
21030,0,23.52,,,,,164100,0,0,0,0,23.52,,,,,164100,8900,0,0,0,0,3053128,33327000,0,,0,,33327533,763282,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
22350,0,23.52,,,,,164100,0,0,0,0,23.52,,,,,164100,10400,0,0,0,0,398440,33336000,0,,0,,33336535,99610,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
23603,0,23.52,,,,,174000,0,0,0,0,23.52,,,,,174000,4800,0,0,0,0,3108340,33345000,0,,0,,33345520,777085,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
24920,0,23.52,,,,,174100,0,0,0,0,23.52,,,,,174100,6000,0,0,0,0,1875952,33354000,0,,0,,33354568,468988,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
26295,0,23.52,,,,,174100,0,0,0,0,23.52,,,,,174100,8200,0,0,0,0,1452852,33363000,0,,0,,33363554,363213,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
27895,0,23.52,,,,,174100,0,0,0,0,23.52,,,,,174100,13200,0,0,0,0,3151208,33372000,0,,0,,33372539,787802,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
29502,0,23.52,,,,,174100,0,0,0,0,23.52,,,,,174100,12700,0,0,0,0,3580516,33381000,0,,0,,33381525,895129,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
31156,0,23.52,,,,,177100,0,0,0,0,23.52,,,,,177100,13800,0,0,0,0,440228,33390000,0,,0,,33390511,110057,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
32790,0,23.52,,,,,179200,0,0,0,0,23.52,,,,,179200,18600,0,0,0,0,2488072,33399000,0,,0,,33399559,622018,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
34562,0,23.52,,,,,169100,0,0,0,0,23.52,,,,,169100,31500,0,0,0,0,3375084,33408000,0,,0,,33408544,843771,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
36263,0,23.52,,,,,169300,0,0,0,0,23.52,,,,,169300,37200,0,0,0,0,3991096,33417000,0,,0,,33417530,997774,,0,,,23.82,0,0,000002.SZ,0,0,20210706,0,0,,
