,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
4239,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,652832,32150000,0,,0,,32946463,163208,,0,,,33.09,0,0,688335.SH,0,0,20210706,0,0,,
5555,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,1739644,33293000,0,,0,,33294026,434911,,0,,,33.09,0,0,688335.SH,0,0,20210706,0,0,,
5556,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,1747104,33293000,0,,0,,33294026,436776,,0,,,33.09,0,0,688335.SH,0,0,20210706,0,0,,
160850,0,33.25,33.29,33.48,33.65,33.69,1601,817,1000,300,200,33.18,33.09,32.91,32.85,32.8,300,300,200,710,200,0,3704396,33901000,0,,0,,33901696,926099,,0,,,33.09,0,0,688335.SH,34820,8884,20210706,0,0,35.935,31.718
167366,0,33.25,33.29,33.48,33.65,33.69,1601,817,1000,300,200,33.18,33.09,32.91,32.85,32.8,300,300,200,710,200,0,1117884,33994000,0,,0,,33996107,279471,,0,,,33.09,0,0,688335.SH,34820,8884,20210706,0,0,35.935,31.718
167367,0,33.25,33.29,33.48,33.65,33.69,1601,817,1000,300,200,33.18,33.09,32.91,32.85,32.8,300,300,200,710,200,0,1125688,33994000,0,,0,,33996107,281422,,0,,,33.09,0,0,688335.SH,34820,8884,20210706,0,0,35.935,31.718
169329,0,33.25,33.29,33.48,33.65,33.69,1601,817,1000,300,200,33.18,33.09,32.91,32.9,32.85,300,300,200,300,710,0,2423148,34200000,0,,0,,34200664,605787,,0,,,33.09,0,0,688335.SH,34820,9184,20210706,0,0,35.935,31.757
174130,0,33.25,33.29,33.47,33.48,33.65,1601,817,1179,1000,300,33.18,33.09,32.91,32.9,32.85,300,300,1200,300,710,0,813860,34203000,0,,0,,34203786,203465,,0,,,33.09,0,0,688335.SH,41823,10184,20210706,0,0,35.916,31.87
179755,0,33.25,33.29,33.39,33.47,33.48,1601,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,300,300,515,1200,300,0,2289028,34206000,0,,0,,34206848,572257,,0,,,33.09,0,0,688335.SH,44472,10699,20210706,0,0,35.794,31.92
184041,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,300,300,515,1200,300,0,2423516,34209000,0,,0,,34209775,605879,,0,,,33.09,0,0,688335.SH,48670,11199,20210706,0,0,35.653,31.954
188236,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,300,300,515,1200,300,0,2743016,34212000,0,,0,,34212708,685754,,0,,,33.09,0,0,688335.SH,49070,11199,20210706,0,0,35.649,31.954
194932,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,300,300,515,1200,300,0,3602272,34217000,0,,0,,34217695,900568,,0,,,33.09,0,0,688335.SH,49270,11199,20210706,0,0,35.641,31.954
198648,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,100,300,515,1200,300,0,1303948,34218000,0,33.18,0,33.18,34219455,325987,33.18,1,33.18,,33.09,0,0,688335.SH,49270,10999,20210706,6636,200,35.641,31.932
207347,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,100,300,515,1200,300,0,3107924,34226000,0,33.18,0,33.18,34226442,776981,33.18,1,33.18,,33.09,0,0,688335.SH,49270,11299,20210706,6636,200,35.641,31.955
224040,0,33.25,33.29,33.39,33.47,33.48,2701,817,649,1179,1000,33.18,33.09,32.92,32.91,32.9,100,300,515,1200,300,0,589288,34238000,0,33.18,0,33.18,34238975,147322,33.18,1,33.18,,33.09,0,0,688335.SH,49570,11299,20210706,6636,200,35.639,31.955
242099,0,33.1,33.25,33.29,33.39,33.47,900,2701,817,649,1179,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,1638740,34251000,0,33.18,0,33.18,34251831,409685,33.18,2,33.18,,33.09,0,0,688335.SH,50470,11199,20210706,9954,300,35.593,31.944
256729,0,33.1,33.24,33.25,33.29,33.39,900,300,2701,817,649,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,3028640,34262000,0,33.18,0,33.18,34262324,757160,33.18,2,33.18,,33.09,0,0,688335.SH,50770,11199,20210706,9954,300,35.579,31.944
260887,0,33.24,33.25,33.29,33.39,33.47,300,1601,817,649,1179,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,3444656,34265000,0,33.18,0,33.1,34265434,861164,33.1,3,33.18,,33.09,0,0,688335.SH,48770,11199,20210706,39744,1200,35.678,31.944
264996,0,33.23,33.24,33.25,33.29,33.39,600,300,1601,817,649,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,3441300,34267000,0,33.18,0,33.1,34267991,860325,33.1,3,33.18,,33.09,0,0,688335.SH,49370,11199,20210706,39744,1200,35.648,31.944
277551,0,33.23,33.24,33.25,33.29,33.39,600,300,1601,817,649,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,38828,34277000,0,33.18,0,33.1,34277359,9707,33.1,3,33.18,,33.09,0,0,688335.SH,50170,11199,20210706,39744,1200,35.62,31.944
24773,0,33.23,33.24,33.25,33.29,33.39,600,300,1601,817,649,33.1,33.09,32.92,32.91,32.9,1000,300,515,1200,300,0,3632292,34311000,0,33.18,0,33.1,34311867,908073,33.1,3,33.18,,33.09,0,0,688335.SH,50170,12199,20210706,39744,1200,35.62,32.039
27951,0,33.23,33.24,33.25,33.29,33.39,600,300,1601,817,649,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,3264852,34314000,0,33.18,0,33.1,34314562,816213,33.1,4,33.18,,33.09,0,0,688335.SH,50170,11199,20210706,72844,2200,35.62,31.944
32008,0,33.22,33.23,33.24,33.25,33.29,700,600,300,1601,817,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,2820084,34317000,0,33.18,0,33.1,34317543,705021,33.1,4,33.18,,33.09,0,0,688335.SH,50870,11199,20210706,72844,2200,35.587,31.944
55735,0,33.21,33.22,33.23,33.24,33.25,883,700,600,300,1601,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,3665840,34334000,0,33.18,0,33.1,34334513,916460,33.1,4,33.18,,33.09,0,0,688335.SH,51753,11199,20210706,72844,2200,35.546,31.944
59833,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.92,32.91,32.9,32.85,300,515,1200,300,710,0,330436,34337000,0,33.18,0,33.1,34337510,82609,33.1,4,33.18,,33.09,0,0,688335.SH,53581,11199,20210706,72844,2200,35.466,31.944
79305,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.93,32.92,32.91,32.9,300,200,515,1200,300,0,1378084,34351000,0,33.18,0,33.1,34351303,344521,33.1,4,33.18,,33.09,0,0,688335.SH,53581,11399,20210706,72844,2200,35.466,31.961
88482,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.93,32.92,32.91,32.9,300,200,3515,1200,300,0,2238208,34358000,0,33.18,0,33.1,34358722,559552,33.1,4,33.18,,33.09,0,0,688335.SH,53581,14399,20210706,72844,2200,35.466,32.161
98510,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.94,32.93,32.92,32.91,300,500,200,3515,1200,0,221216,34365000,0,33.18,0,33.1,34365963,55304,33.1,4,33.18,,33.09,0,0,688335.SH,53581,14899,20210706,72844,2200,35.466,32.187
125062,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.94,32.93,32.92,32.91,300,500,200,3515,1200,0,2461796,34385000,0,33.18,0,33.1,34386052,615449,33.1,4,33.18,,33.09,0,0,688335.SH,53981,14899,20210706,72844,2200,35.498,32.187
133436,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.94,32.93,32.92,32.91,300,500,200,3515,1200,0,540824,34392000,0,33.18,0,33.1,34392110,135206,33.1,4,33.18,,33.09,0,0,688335.SH,54181,14899,20210706,72844,2200,35.51,32.187
140954,0,33.2,33.21,33.22,33.23,33.24,1828,883,700,600,300,33.09,32.94,32.92,32.91,32.9,300,500,3515,1200,300,0,1709588,34396000,0,33.18,0,33.1,34397036,427397,33.1,4,33.18,,33.09,0,0,688335.SH,54181,14699,20210706,72844,2200,35.51,32.177
